english,portuguese
It rained the whole day.,Choveu o dia todo.
The habit of smoking is very difficult to get rid of.,É muito difícil se livrar do ato de fumar.
She slammed the door.,Ela bateu a porta.
We're confused.,Estamos confusas.
I used to be a cop.,Eu era um policial.
I went to every modern art show that took place in Tokyo last year.,Eu fui a todas as exposições de arte moderna realizadas em Tóquio no ano passado.
I didn't know the answer.,Eu não sabia a resposta.
It's difficult to speak French.,É difícil falar francês.
We have to ask everybody this.,Temos que perguntar isso a todo mundo.
Your shoes are dirty.,Seus sapatos estão sujos.
Tom thinks that's strange.,Tom acha isso estranho.
How long do we have to stay here?,Quanto tempo temos de ficar aqui?
What have you guys done to me?,O que vocês fizeram comigo?
I wonder how long it's going to take.,Eu me pergunto quanto tempo vai durar.
We'll help you.,Nós iremos te ajudar.
I have no idea who did that.,Eu não tenho ideia de quem fez isso.
I bet you know this.,Aposto que você sabe disso.
You scare me.,Vocês me assustam.
You're confusing me with someone else.,Você está me confundindo com outra pessoa.
We ran to the station.,Corremos para a estação.
I didn't leave my house yesterday.,Não saí de casa ontem.
I told Tom to take off his shoes.,Disse para o Tom tirar os sapatos.
How did Tom know where the treasure was buried?,Como o Tom sabia onde o tesouro estava enterrado?
"Tom isn't being very helpful, is he?","Tom não está ajudando muito, está?"
You can eat whatever you like.,Você pode comer o que quiser.
Why don't you believe Tom?,Por que vocês não acreditam no Tom?
That shop has many customers.,Aquela loja possui muitos clientes.
Tom abandoned them.,Tom as abandonou.
You said so yourself.,Foi você mesmo que disse.
Tom assumed everyone at school knew he'd been arrested.,Tom presumiu que todos na escola sabiam que ele havia sido preso.
Tom has a son and so do I.,Tom tem um filho e eu também.
She made room for an old lady.,Ela abriu espaço para uma idosa.
Who's your favorite child actor?,Quem é o seu ator-mirim favorito?
Tom's father never came back home before nine or ten.,O pai do Tom nunca voltou para casa antes das nove ou dez.
We had too much clothing.,Nós estávamos levando roupa demais.
"If you do that for us, then we'll pay you three hundred dollars.","Se você fizer isso por nós, depois te pagaremos trezentos dólares."
"She wants to buy a car, but she can't afford to.","Ela queria comprar um carro, porém não tinha condições financeiras para isso."
We should talk to Tom.,Nós deveríamos falar com o Tom.
Ten teams competed for the prize.,Dez times competiram pelo prêmio.
Tom will miss the train if he doesn't hurry.,Tom irá perder o trem se não se apressar.
Tom is the one who told me that Mary didn't like me.,Foi o Tom quem me contou que a Mary não gostou de mim.
I really need to hit somebody.,Estou sentindo uma vontade enorme de bater em alguém.
I think we should tell Tom what we think.,Eu acho que deveríamos dizer ao Tom o que nós pensamos.
All the boys ran away.,Todos os meninos fugiram.
Tom is dressed in black today.,Tom está de preto hoje.
Tom and Mary aren't home.,Tom e Mary não estão em casa.
Tom said that he wanted to get divorced.,Tom disse que queria se divorciar.
I have got to go now.,Eu tenho que ir agora.
Do you really know where Tom went?,Você realmente sabe onde o Tom foi?
"To be honest, I don't like you at all.","Honestamente, não gosto nem um pouco de você."
Tom didn't do well on today's test.,Tom não foi bem na prova de hoje.
Tom used to date Mary.,Tom costumava sair com a Mary.
Please don't fight.,"Por favor, não briguem."
I know Tom didn't go to Boston.,Eu sei que o Tom não foi para Boston.
Tom survived.,Tom sobreviveu.
Say goodbye to your friends.,Diz adeus aos teus amigos.
Why are you so interested in that?,Por que você está tão interessada nisso?
Have you ever dug a hole as deep as this one?,Você já cavou um buraco tão fundo quanto este?
I've made some big mistakes.,Eu cometi alguns erros grandes.
I don't want Tom going to your office.,Eu não quero que o Tom vá ao seu escritório.
I'm smarter than Tom.,Eu sou mais inteligente que o Tom.
She wanted to wash the dirty clothes.,Ela queria lavar as roupas sujas.
I should go to bed.,Deveria ir para a cama.
Tom thought that the boy he saw talking to Mary was John.,Tom achou que o garoto que ele viu conversando com a Mary era o John.
I like your car.,Gosto do seu carro.
We're being called.,Estão nos chamando.
I don't like this shirt. Please show me another one.,"Eu não gosto desta camisa. Por favor, mostre-me outra."
We're almost there.,Estamos quase lá.
Tom turned off his phone.,Tom desligou o celular.
I got a little too impatient.,Eu fiquei um pouco impaciente demais.
"He's a year and five months old, but he can't walk yet.","Ele tem um ano e cinco meses, mas ainda não consegue andar."
I allowed Tom to kiss me.,Eu deixei Tom me beijar.
"What's your wife's name? ""I'm not married.""","Qual é o nome da sua esposa? ""Eu não sou casado."""
He was proud that he was selected by the people.,Ele se orgulhava de ter sido eleito pelo povo.
Have you done all your homework?,Você fez todo seu dever de casa?
I hope things don't change too much.,Espero que as coisas não mudem demais.
Can you recommend a good camera?,Você pode me recomendar uma boa câmera?
What's the minimum wage in your country?,Qual é o salário mínimo no seu país?
Where will you go?,Aonde você irá?
Everyone that I know can speak French.,Todo mundo que conheço sabe falar Francês.
The whole world's watching.,O mundo inteiro está assistindo.
Tom got a tan.,Tom pegou um bronzeado.
Tom is a pathological liar.,Tom é um mentiroso patológico.
I wonder what Tom thinks.,Gostaria de saber o que Tom pensa.
Tom kicked the knife out of Mary's hand.,Tom chutou a faca da mão de Mary.
Next year is the year of the rabbit.,O ano que vem é o ano do coelho.
What's the good news?,Qual é a boa notícia?
Tom doubts that Mary can win.,Tom duvida que Maria possa vencer.
I shook my head.,Balancei a cabeça.
It's what I want.,Esse é o que quero.
My dog barks all the time.,Meu cachorro late o tempo todo.
Tom came to my office early yesterday afternoon.,Tom veio ao meu escritório cedo ontem à tarde.
You lost the game.,Perdeste o jogo.
You can't come tomorrow.,Vocês não podem vir amanhã.
Would you like me to show you around town?,A senhora quer que eu lhe mostre a cidade?
Tom enjoys playing golf.,Tom gosta de jogar golfe.
Tom said he'd be back.,Tom disse que voltaria.
I'm looking for a friend of mine.,Eu estou procurando uma amiga minha.
We don't have classes today.,Não temos aula hoje.
I wonder if Tom is pleased.,Eu me pergunto se o Tom está satisfeito.
Why did you sell your car?,Por que você vendeu o seu carro?
Tom may be here this afternoon.,Tom pode estar aqui esta tarde.
I love your stories.,Eu adoro suas histórias.
How're you doing?,Como vai você?
I wanted to go hunting.,Eu queria ir caçar.
I didn't see anybody.,Eu não vi ninguém.
Let go of my arm! I can't stand people touching me.,Solta o meu braço! Eu não suporto pessoas me tocando.
You needn't to be afraid.,Você não precisa ter medo.
I've never eaten horsemeat.,Eu nunca comi carne de cavalo.
Tom could tell that Mary wasn't feeling well.,Tom poderia dizer que Maria não estava se sentindo bem.
I had a good reason for saying that.,Tinha um bom motivo para dizer isso.
You should go.,Você deveria ir.
I just found out that you used to live in Australia.,Acabei de descobrir que você já morou na Austrália.
Let go of it.,Solte isso.
Have you read this book already?,Tu já leste este livro?
Tom took a lot of pictures of Mary.,Tom tirou um monte de fotos de Mary.
Tom likely won't wait for us.,O Tom provavelmente não vai esperar por nós.
The table was covered with dust.,A mesa estava coberta de poeira.
You have to leave.,Você deve ir.
He is no ordinary student.,Ele não é um estudante comum.
What part is wrong?,Que parte está errada?
I think you've put your sweatshirt on inside out.,Acho que você vestiu o moletom do avesso.
I can't afford to rent a house like this in Tokyo.,Eu não posso alugar uma casa como essa em Tóquio.
They told me everything.,Eles me contaram tudo.
I lent Tom my bicycle.,Emprestei para o Tom minha bicicleta.
I tried to prevent that from happening.,Eu tentei impedir aquilo de acontecer.
Mary has not started yet.,Mary ainda não começou.
I spend a few hours a day maintaining my website.,Eu passo algumas horas do meu dia mantendo o meu site.
Tom hates it.,O Tom odeia isso.
Vegetarians don't eat meat.,Os vegetarianos não comem carne.
Tom's contract wasn't renewed.,O contrato de Tom não foi renovado.
I'm going to walk the dog.,Vou passear com o cachorro.
Tom knew Mary had to help John.,O Tom sabia que a Mary tinha de ajudar o John.
Tom easily won.,Tom venceu com facilidade.
Who's the owner of this property?,Quem é o dono desta propriedade?
You have to move.,Vocês devem se mudar.
Was it a good trip?,Foi uma boa viagem?
I dropped my sandwich.,Deixei cair meu sanduíche.
I owe my success to my friend.,Eu devo meu sucesso a meu amigo.
Tom denied Mary's requests.,Tom negou os pedidos de Maria.
"When your resources are limited, you have to prioritize.","Quando seus recursos são limitados, você deve priorizá-los."
I asked Tom what he was reading.,Perguntei ao Tom o que ele estava lendo.
Rainforests should be preserved.,As florestas tropicais devem ser preservadas.
He finally decided to try.,Ele finalmente decidiu tentar.
Why does Tom care?,Por que Tom se preocupa?
The law was changed.,A lei foi alterada.
Why can't I go to Boston?,Por que não posso ir para Boston?
Tom entered Mary's house.,Tom entrou na casa de Mary.
Would you like to go to the movies with me?,Tu queres ir ao cinema comigo?
"It's your fault, not mine.","É culpa sua, não minha."
Tom's new wife is young enough to be his daughter.,A nova esposa de Tom é jovem o suficiente para ser filha dele.
They abandoned Tom.,Eles abandonaram o Tom.
I can't live without you.,Eu não posso viver sem você.
I'd like to see her again.,Gostaria de vê-la novamente.
Tom used to play poker with us.,Tom jogava pôquer conosco.
That's terrific.,Isso é ótimo.
Only 3 out of the 98 passengers survived.,Apenas 3 dos 98 passageiros sobreviveram.
Tom doesn't know what he has to do yet.,Tom ainda não sabe o que ele tem que fazer.
I left my wallet at home.,Eu deixei a minha carteira em casa.
"Is she reading a book? ""Yes, she is.""","Ela está lendo um livro? ""Está, sim."""
How was your date?,Como foi o seu encontro?
What kind of fuel do you use in this machine?,Que tipo de combustível o senhor utiliza para esta máquina?
We're not going to lose.,Nós não vamos perder.
He was caught stealing apples.,Ele foi pego roubando maçãs.
Are you sure that man is a doctor?,Você tem certeza que esse homem é médico?
You don't have enough experience.,Tu não tens experiência suficiente.
They know we're friends.,Eles sabem que nós somos amigos.
I was kicked out of the store.,Fui expulso da loja.
Pace yourself.,Não vá com tanta sede ao pote.
I don't have it with me.,Isso não está comigo.
Did you really expect me to help you?,Você realmente espera que eu te ajude?
I suppose you know where Tom is.,Suponho que você saiba onde o Tom está.
Tom didn't say what he did.,Tom não disse o que ele fez.
I am not always at home on Sundays.,Nem sempre estou em casa de domingo.
Tom saw them.,Tom viu elas.
I didn't come here to talk.,Não vim aqui para conversar.
I'm the only one who understands you.,Sou o único que a compreende.
Do you love me at all?,Você sequer me ama?
I know that you're very angry.,Eu sei que você está muito zangado.
I shouldn't have logged off.,Eu não devia ter me deslogado.
We're thieves.,Somos ladrões.
The plane is taking off.,O avião está decolando.
All I want is freedom.,Tudo o que eu quero é liberdade.
Are you having trouble sleeping?,Vocês estão tendo problemas para dormir?
Tom doesn't know anyone here.,O Tom não conhece ninguém aqui.
Why do you like sports so much?,Por que você gosta tanto de esportes?
My father is retiring next spring.,Meu pai se aposenta na próxima primavera.
Tom started studying French three years ago.,O Tom começou a estudar francês há três anos.
Tom was sitting over there all morning.,O Tom esteve ali sentado a manhã inteira.
It's essential that you understand the situation.,É essencial que você entenda a situação.
I'm living alone.,Estou morando sozinho.
The sidewalk is slippery.,A calçada está escorregadia.
She sat next to him on the bus.,Ela se sentou perto dele no ônibus.
I'm old.,Eu estou velho.
I studied a lot in school.,Estudei muito na escola.
I used to play tennis when I was a student.,Eu jogava tênis quando era estudante.
Tom tried to talk Mary out of leaving.,Tom tentou convencer Maria a não ir embora.
He's Tom.,Ele é o Tom.
Tom raised his children by himself.,Tom criou os filhos dele sozinho.
Which company do you work for?,Em que empresa você trabalha?
Put your books in your locker.,Coloque os seus livros no seu armário.
Tom said it would be impossible.,Tom disse que seria impossível.
I'll come by subway.,Virei de metrô.
I have only just begun.,Acabo de começar.
I saw Tom rowing across the lake.,Eu vi o Tom remando do outro lado do lago.
Did you read the article?,Você leu a matéria?
Hold the ball with both hands.,Segure a bola com as duas mãos.
Tom fell off the bridge.,Tom caiu da ponte.
Tom's not really that into sports.,Tom não é muito ligado em esportes.
Both of my brothers haven't done that.,Os meus dois irmãos não fizeram isso.
This button is loose.,Este botão está solto.
Tom voted.,Tom votou.
I won't tell you why.,Eu não vos direi por quê.
I had a great night.,Eu tive uma noite excelente.
I think I'd better go with you.,Eu acho melhor ir com você.
You've never been like this before.,Você nunca esteve assim antes.
Tom is one of the best players we have on the team.,Tom é um dos melhores jogadores que temos na equipe.
You're taunting me.,Vocês estão querendo me pôr em ridículo.
My mother is making dinner.,A minha mãe está fazendo o jantar.
Do you want to go or not?,Você quer ir ou não?
I lived in downtown Boston for three years.,Eu morei no centro de Boston por três anos.
They hated each other.,Eles odiavam-se.
Thanks for calling back.,Obrigado por retornar a ligação.
This music's annoying everyone.,Esta música está chateando a todos.
I wonder if Tom is still there.,Pergunto-me se Tom ainda está lá.
I couldn't have done it without you. Thank you.,Não seria possível eu fazer isso sem você. Muito obrigada.
The question confused Tom.,A pergunta deixou Tom confuso.
They made me go there.,Fizeram com que eu fosse lá.
I'm not home right now.,Eu não estou em casa agora.
It's all my fault.,É tudo minha culpa!
Tom didn't know what to give Mary for her birthday.,Tom não sabia o que dar para Maria no aniversário dela.
Are we going to have to sleep here?,Vamos ter de dormir aqui?
I knew you'd make it.,Eu sabia que você iria conseguir.
"If you're happy, it's best to just leave things how they are.","Se você está feliz, melhor deixar as coisas como estão."
Tom and Mary weren't married.,Tom e Maria não eram casados.
I wasn't expecting Tom's help.,Eu não estava esperando pela ajuda do Tom.
Where are my rings?,Onde estão meus anéis?
This doesn't fit.,Isso não é bom.
Don't forget to put on sunscreen.,Não esqueçam de colocar o filtro solar.
What's the nicest thing Tom has ever done for you?,Qual foi a coisa mais legal que o Tom já fez por você.
Are you still cold?,Você ainda está com frio?
Don't you know each other?,Você não se conhecem?
I lost my temper.,Perdi a cabeça.
Tom was looking for his pen.,Tom estava procurando sua caneta.
It was Tom who told me what happened.,Tom foi quem me disse o que aconteceu.
This is the village where I spent my childhood.,Este é o vilarejo onde eu passei a minha infância.
You're so impatient with me.,Tu és tão impaciente comigo.
He was expelled from school.,Ele foi expulso do colégio.
Tom put his house up for sale.,Tom colocou sua casa à venda.
How long did you sleep last night?,Quanto tempo você dormiu na noite passada?
My knee hurts.,Meu joelho está doendo.
Tom barely passed the test.,Tom mal passou no teste.
Whose books are these?,De quem são esses livros?
Tom got rich overnight.,O Tom ficou rico da noite para o dia.
Is Tom as tall as me?,O Tom é tão alto quanto eu?
Why do you ask?,Por que a senhora está perguntando?
He seems very pleasant.,Parece muito simpático.
I'd never ask Tom to do that.,Eu nunca pediria para Tom fazer isso.
I didn't think that you'd be alone.,Eu não pensei que você estivesse sozinha.
Do you drink?,Você bebe?
Tom and Mary played hide-and-go-seek.,Tom e Mary brincaram de esconde-esconde.
Tom was lying on the floor.,Tom estava deitado no chão.
Tom looks fine.,Tom parece bem.
Every Saturday we clean the whole house.,Todos os sábados limpamos a casa inteira.
The archer killed the deer.,O arqueiro matou o cervo.
"Tom wanted to buy Mary something, but he didn't have any money.","Tom queria comprar algo para Mary, mas não tinha dinheiro."
Just give us a chance.,Dê-nos uma chance pelo menos.
We'll meet you outside.,Nós encontraremos você lá fora.
I go to school by subway.,Eu vou para a escola de metrô.
There are many housewives who complain about high prices.,Há muitas donas de casa que se queixam dos preços altos.
He is lying on the grass.,Ele está deitado na grama.
Tom was in a wheelchair.,Tom estava em uma cadeira de rodas.
"Can someone help me, please?","Alguém pode me ajudar, por favor?"
You're someone very special to me.,Você é alguém muito especial para mim.
We'll never forget Tom.,Nunca esqueceremos o Tom.
The water in this area isn't drinkable.,A água nesta área não é potável.
"You haven't spoken to Tom about this yet, have you?","Você ainda não falou com Tom sobre isso, falou?"
"I'm sorry, I have no idea.","Desculpe, não tenho ideia."
I would like to kiss you.,Gostaria de te beijar.
Tom isn't working in Australia anymore.,Tom não está mais trabalhando na Australia.
There is a bench under the tree.,Há um banco debaixo da árvore.
Tom will always love you.,Tom vai sempre amá-la.
Let's review Lesson 5.,Vamos revisar a lição 5.
I told Tom what happened.,Eu contei a Tom o que aconteceu.
That offer expired three months ago.,Essa oferta expirou há três meses.
Our ancestors came to this country 150 years ago.,Nossos ancestrais chegaram neste país há 150 anos.
Is it true that you were on TV yesterday?,É verdade que você passou na TV ontem?
Don't you agree with me?,Vocês não concordam comigo?
Tom has a thing for you.,Tom tem uma coisa para você.
I don't like socializing.,Eu não gosto de me socializar.
Tom asked me if he could close the windows.,Tom me perguntou se podia fechar as janelas.
What's your favorite drink?,Qual é a sua bebida favorita?
You need to eat breakfast.,Você precisa tomar café da manhã.
He likes to watch the birds fly above his head.,Ele gosta de observar os pássaros voando sobre sua cabeça.
We went to a movie.,A gente foi assistir um filme.
Tom seems to be nice.,Tom parece ser legal.
My date with Tom was an utter disaster.,Meu encontro com o Tom foi um completo desastre.
Tom used to go to Australia three times a month.,Antônio costumava ir à Austrália três vezes ao mês.
What do we have to lose?,O que temos a perder?
Everybody waited in silence.,Todo mundo esperou em silêncio.
I wish I had seen her.,Queria tê-la visto.
Tom isn't dead yet.,O Tom não morreu ainda.
Don't worry about the results of your test.,Não se preocupe com os resultados de sua prova.
What shall I do with the knife?,Que tenho que fazer com a faca?
They captured Rome in June of 1944.,Eles capturaram Roma em junho de 1944.
I think it was strange that Tom didn't say anything.,Eu acho estranho que Tom não disse nada.
"As far as politics is concerned, he's still as innocent as a child.","No que tange a política, ele ainda é inocente como uma criança."
I'm going to defeat you.,Eu vou derrotar você.
Prices are sky-high.,Os preços estão muito altos.
Can you keep Tom there?,Você pode manter o Tom aí?
I changed.,Eu mudei.
This is non-negotiable.,Isto não é negociável.
Did Tom leave something here for me?,O Tom deixou aqui alguma coisa para mim?
I think I know where Tom hid his key.,Acho que sei onde o Tom escondeu a chave.
Do you know why Tom isn't here?,Você sabe o porquê do Tom não estar aqui?
This painting was restored by the museum.,Esta pintura foi restaurada pelo museu.
I wanted to give Tom some money.,Eu quis dar um pouco de dinheiro a Tom.
Has Tom broken something again?,Tom quebrou algo de novo?
Do you want to talk to Tom?,Quer conversar com o Tom?
Please don't call me anymore.,"Por favor, não me chame mais."
Nobody was late.,Ninguém atrasou-se.
I bought everything that Tom asked me to buy.,Comprei tudo o que Tom me pediu para comprar.
There's a man here that wants to see you.,Tem um homem aqui que quer te ver.
I knew Tom wasn't going to Boston.,Eu sabia que o Tom não estava indo para Boston.
It's in good hands.,Está em boas mãos.
I knew Tom was dead.,Eu sabia que o Tom tinha morrido.
"You don't like Tom very much, do you?","Você não gosta muito de Tom, gosta?"
How does Tom do that?,Como o Tom faz isso?
"Tell me, do you ever sleep?",Me diga uma coisa: você nunca dorme?
There are things I need to do.,Há coisas que preciso fazer.
I'd like a car like yours.,Gostaria de um carro como o seu.
Are the children at school?,As crianças estão na escola?
You'll get nothing.,Você não vai ganhar nada.
Tom was a piano teacher.,Tom era professor de piano.
I'm taking care of it.,Eu estou cuidando disso.
Tom didn't care anymore.,Tom não se importava mais.
Tom wanted to be a scientist.,Tom queria ser cientista.
You should get rid of this.,Você deveria se livrar disto.
I want to go out with you.,Eu quero sair com você.
The waiter came over to take Tom's order.,O garçom veio para anotar o pedido de Tom.
We'll get one.,Ganharemos um.
I hate soccer.,Odeio futebol.
We're outraged.,Estamos indignados.
Do you ever come to Boston on business?,Você já veio a Boston a negócios?
We have nothing in common.,Nós não temos nada em comum.
We want to change that.,Nós queremos mudar aquilo.
It might rain tomorrow.,Talvez chova amanhã.
Do you have any idea how dangerous that is?,Você tem ideia de como aquilo é perigoso?
Tom is very forgetful.,Tom é muito esquecido.
She slipped.,Ela escorregou.
Tom and I are close friends.,Eu e Tom somos amigos próximos.
He's taking a nap.,Ele tá tirando um cochilo.
"Do you drink, Tom?","Você bebe, Tom?"
I wanted to make sure it wasn't us who caused the problem.,Eu queria me certificar de que não foi a gente que causou o problema.
I know that you know this.,Eu sei que tu sabes disso.
"Once a month, she has lunch with her father.",Uma vez por mês ela almoça com o pai.
Are you a drug addict?,Você é viciada em drogas?
Do you talk to your dog?,Vocês conversam com seu cachorro?
Tom watched a movie.,Tom assistiu um filme.
I'll give you five dollars.,Eu vou te dar cinco dólares.
"If I had enough money, I could go abroad.",Se eu tivesse dinheiro suficiente eu poderia viajar para o exterior.
Cut your nails.,Corta tuas unhas.
Tom knew.,Tom sabia.
The village had more than a thousand residents.,A aldeia tinha mais de mil habitantes.
We need them.,A gente precisa delas.
Tom always goes to Boston for Christmas.,Tom sempre vai a Boston no Natal.
Stop apologizing.,Pare de se desculpar.
How does he do this?,Como ele faz isto?
We could've made a fortune.,Nós poderíamos ter feito uma fortuna.
All things come to those that wait.,Quem espera sempre alcança.
Tom painted the ceiling white.,Tom pintou o teto de branco.
Tom swims better than Mary does.,Tom nada melhor do que Mary.
Hold still a moment while I fix your tie.,Fica quieto enquanto te ajeito a gravata.
He likes ham and eggs.,Ele gosta de presunto e ovos.
I'd rather kiss my grandmother than kiss you.,Eu prefiro beijar minha avó do que beijar você.
Why don't you have a girlfriend?,Por que você não tem namorada?
Didn't you study history at school?,A senhora não estudou História na escola?
Tom said that Mary's dog wasn't as big as his.,Tom disse que o cachorro da Mary não era tão grande quanto o dele.
Aren't you two related?,Vocês dois são parentes?
I like to play basketball.,Gosto de jogar basquete.
"Where are you from, Tom?","De onde você é, Tom?"
What exactly are they doing in there?,O que exatamente estão fazendo lá dentro?
The curtain caught on fire.,A cortina pegou fogo.
"One cup of coffee, please.","Um café, por favor."
Tom has been asked to leave.,Tom foi convidado a se retirar.
I only eat meat from animals that I have personally killed and butchered.,Eu só como carne de animais que eu mesma tenha matado e tratado.
Who are you people?,Quem são vocês?
Tom had to return to Boston.,Tom teve de voltar para Boston.
He has a crush on this girl.,Ele está caidinho por esta garota.
He took off his glasses.,Ele tirou os óculos.
I wasn't laughing at you.,Eu não estava rindo de vocês.
My clock is five minutes fast.,Meu relógio está cinco minutos adiantado.
Which one do you like best?,De qual você gosta mais?
He got off the train.,Ele desceu do trem.
Please be honest.,"Por favor, seja honesto."
I want you to wear this one.,Eu quero que você vista este aqui.
"There are two zeros in the number ""2010.""",O número 2010 tem dois zeros.
Are you still coming?,Você ainda vai vir?
"Does Tom want dessert, too?",Tom também quer sobremesa?
Tom didn't feel like waiting.,Tom não estava a fim de esperar.
Tom is always complaining about his wife.,Tom está sempre se queixando da esposa.
Did Tom confess to killing Mary?,O Tom confessou ter matado a Mary?
Tom tried to contact Mary.,Tom tentou entrar em contato com Maria.
It is no use trying again.,Não adianta nada tentar de novo.
Why didn't you say anything?,Por que você não disse nada?
"I don't know what it is, but it's something very big.","Não sei o que é, mas é alguma coisa muito grande."
I'm so tired that I can barely move.,Estou tão cansada que mal consigo me mexer.
What is it that Tom wants to eat?,O que Tom quer comer?
You'd better not see her now.,É melhor vocês não a verem agora.
Is it true that you don't want to marry Tom anymore?,É verdade que você não quer mais se casar com Tom?
You can't show this video to anyone.,Vocês não podem mostrar este vídeo a ninguém.
The project was a great success.,O projeto foi um grande sucesso.
Tom isn't afraid of spiders.,Tom não tem medo de aranha.
The apple does not fall far from the tree.,Quem herda não furta.
I took my shoes off.,Eu tirei os sapatos.
I talked to everybody.,Eu conversei com todos.
I don't want to be chosen.,Eu não quero ser escolhido.
Tom doesn't do drugs.,Tom não usa drogas.
Things are getting out of hand.,As coisas estão ficando fora de controle.
I got up earlier than usual to get the first train.,Levantei-me mais cedo do que o habitual para apanhar o primeiro comboio.
I have no money to buy the dictionary.,Não tenho dinheiro para comprar o dicionário.
I'll lend you this dictionary.,Eu vou emprestar esse dicionário para você.
She always thinks she's right.,Ela sempre acha que está certa.
"I'm really stupid, aren't I?","Sou muito idiota, não sou?"
She was always complaining about her husband.,Ela estava sempre a reclamar de seu marido.
I said that I'll do that for you.,Eu disse que vou fazer isso por você.
"These are yours, aren't they?","Esses são seus, não são?"
I stole it from Tom.,Roubei isso do Tom.
They look surprised.,Elas parecem surpresas.
"When I woke up, it was snowing.","Quando eu acordei, estava nevando."
They've decided not to come.,Elas decidiram não vir.
Tom meant to tell Mary about the party.,O Tom quis contar para a Mary sobre a festa.
I just got done eating lunch.,Eu acabei de almoçar.
I hope everything works out.,Eu espero que tudo funcione.
Tom never sings in public.,Tom nunca canta em público.
It's their job.,É o trabalho deles.
Do you read a lot?,Vocês leem muito?
I'm going to buy you a watch.,Eu vou comprar-te um relógio.
Is your hair still wet?,O seu cabelo ainda está molhado?
Don't kill Tom.,Não mate Tom.
I asked Tom if he really wanted to do that.,Eu perguntei ao Tom se ele realmente queria fazer isso.
You can say whatever you want.,Você pode dizer o que quiser.
Wait a bit.,Espere um minuto.
Tom saw Mary coming towards him.,Tom via a Mary se aproximando dele.
We lost.,Nós perdemos.
We need to get away from here.,Precisamos sair daqui.
It may snow tonight.,Pode nevar de noite.
The audience laughed.,O público riu.
I'm attentive.,Estou atenta.
There wasn't anyone there.,Não havia ninguém lá.
How could I've known that it was Tom?,Como poderia saber que era Tom?
You're unnecessary.,Você é desnecessário.
I sneeze all the time.,Eu espirro o tempo todo.
Monetary donations are also welcome.,Doações monetárias também são bem-vindas.
I want to dream.,Eu desejo sonhar.
The problem is you're not Canadian.,O problema é que vocês não são canadenses.
We wrote to them.,Escrevemos a elas.
The only person Tom likes is Mary.,A única pessoa de quem Tom gosta é Mary.
This yacht is very expensive.,Este iate é muito caro.
I love you for who you are.,Eu a amo por quem você é.
You're talented.,Tu és talentosa.
We're heroes.,Nós somos heróis.
I still think that that's the most plausible reason.,Eu ainda acho que essa é a razão mais plausível.
I can't stand that noise any longer.,Não consigo mais suportar aquele barulho.
Did you get wet?,Tu te molhaste?
It'll be a long day.,Será um longo dia.
He speaks five languages.,Ele fala cinco línguas.
That sounds like a good idea.,Parece uma boa ideia.
"You know you don't have to do that, don't you?","Você sabe que não tem que fazer isso, não é?"
This plane is quite old.,Este avião é bastante antigo.
Tom told me that he never wanted to work for his father.,Tom me disse que ele nunca quis trabalhar para seu pai.
Nobody can help you now.,Ninguém pode ajudá-lo agora.
The line is still busy.,A linha ainda está ocupada.
Tom will appeal the ruling.,Tom recorrerá da decisão.
Tom kicked the soccer ball.,Tom chutou a bola de futebol.
Who called them?,Quem os chamou?
Tom will probably buy his mother some flowers for Mother's Day.,Tom provavelmente vai comprar flores para sua mãe no Dia das Mães.
Lend me your book for a moment.,Empresta-me teu livro por um momento.
I haven't gone anywhere lately.,Não fui a lugar nenhum ultimamente.
He's doing something there.,Ele está fazendo alguma coisa lá.
"I knew it was wrong, but I did it anyway.","Eu sabia que aquilo era errado, mas o fiz mesmo assim."
I read this book a couple of years ago.,Eu li este livro dois anos atrás.
It happened that he was ill in bed when we visited him.,Aconteceu que ele estava doente na cama quando nós o visitamos.
Would you like to dance with me?,Gostaria de dançar comigo?
We have some business to discuss.,Temos alguns negócios para discutir.
We talk a lot.,A gente conversa bastante.
I don't want to buy anything yet.,Eu ainda não quero comprar nada.
I bet you've never climbed a tree.,Aposto que você nunca subiu em uma árvore.
Who's been drinking my wine?,Quem tem bebido o meu vinho?
I wanted to meet Tom's family.,Eu queria conhecer a família do Tom.
I'm against the bill.,Sou contra esse projeto de lei.
He hid his toys under the bed.,Ele escondeu os brinquedos debaixo da cama.
Which floor do you live on?,Em que andar você mora?
My father lost his job.,Meu pai perdeu o emprego.
I forgot to phone him.,Esqueci-me de lhe ligar.
Tom is the name of my son.,Tom é o nome do meu filho.
Tom says he knows something about Mary that we don't know yet.,Tom diz que sabe alguma coisa sobre a Mary que nós ainda não sabemos.
Tom met Mary three years ago.,Tom foi apresentado a Mary há três anos.
He sat on the bed.,Ele se sentou na cama.
She understands music.,Ela entende de música.
Tom writes slowly.,Tom escreve lentamente.
I had my wallet stolen.,Roubaram a minha carteira.
Tom hired me to help him.,Tom me contratou para ajudá-lo.
Tom no longer wants to go to Boston.,O Tom não quer mais ir para Boston.
Tom didn't tell Mary everything.,Tom não contava tudo a Mary.
Tom wanted Mary to clean her room.,Tom queria que Mary limpasse o quarto dela.
Tom quickly packed a few things into a suitcase and left.,Tom rapidamente empacotou algumas coisas em uma maleta e saiu.
I haven't eaten yet.,Ainda não comi.
Do you have any light beer?,Você tem alguma cerveja leve?
Tom said he was appreciative.,Tom disse que estava agradecido.
